83;0,195;5;0,979;7;4;Si;83;0,262;12;0,557;10;34;No;24;26;Si;83
84;0,674;7;0,371;5;4;Si;84;0,883;16;0,797;10;38;No;24;30;Si;84
85;0,179;5;0,54;5;4;Si;85;0,408;12;0,242;8;30;Si;25;24;Si;85
86;0,483;6;0,483;5;4;Si;86;0,861;16;0,821;10;37;No;25;30;Si;86
87;0,845;7;0,622;5;4;Si;87;0,431;12;0,403;10;34;No;25;26;Si;87
88;0,199;5;0,001;3;4;Si;88;0,943;16;0,792;10;34;No;25;30;Si;88
89;0,681;7;0,403;5;4;Si;89;0,742;14;0,26;10;36;No;25;28;Si;89
90;0,382;6;0,393;5;4;Si;90;0,214;10;0,274;10;31;Si;26;24;Si;90
91;0,656;7;0,301;5;4;Si;91;0,712;14;0,959;10;36;No;26;28;Si;91
92;0,67;7;0,4;5;4;Si;92;0,518;12;0,285;10;34;No;26;26;Si;92
93;0,022;5;0,647;5;4;Si;93;0,832;14;0,015;8;32;Si;27;26;Si;93
94;0,833;7;0,817;7;4;Si;94;0,527;12;0,552;10;36;No;27;26;Si;94
95;0,191;5;0,073;3;4;Si;95;0,647;14;0,327;10;32;Si;28;28;Si;95
96;0,388;6;0,313;5;4;Si;96;0,151;10;0,632;10;31;Si;29;24;Si;96
97;0,071;5;0,438;5;4;Si;97;0,358;12;0,51;10;32;Si;30;26;Si;97
98;0,157;5;0,317;5;4;Si;98;0,249;10;0,556;10;30;Si;31;24;Si;98
99;0,961;8;0;3;4;Si;99;0,996;16;0,297;10;37;No;31;30;Si;99
100;0,273;6;0,159;3;4;Si;100;0,598;12;0,675;10;31;Si;32;26;Si;100
101;0,644;7;0,121;3;4;Si;101;0,022;10;0,13;8;28;Si;33;22;Si;101
102;0,801;7;0,895;7;4;Si;102;0,734;14;0,726;10;38;No;33;28;Si;102
103;0,486;6;0,666;5;4;Si;103;0,325;12;0,398;10;33;No;33;26;Si;103
104;0,217;5;0,624;5;4;Si;104;0,415;12;0,51;10;32;Si;34;26;Si;104
105;0,745;7;0,746;5;4;Si;105;0,261;12;0,151;8;32;Si;35;24;Si;105
106;0,445;6;0,929;7;4;Si;106;0,629;14;0,342;10;37;No;35;28;Si;106
107;0,881;8;0,398;5;4;Si;107;0,528;12;0,962;10;35;No;35;26;Si;107
108;0,684;7;0,339;5;4;Si;108;0,466;12;0,708;10;34;No;35;26;Si;108
109;0,373;6;0,75;7;4;Si;109;0,345;12;0,647;10;35;No;35;26;Si;109
110;0,809;7;0,226;5;4;Si;110;0,318;12;0,409;10;34;No;35;26;Si;110
111;0,546;6;0,859;7;4;Si;111;0,369;12;0,207;8;33;No;35;24;Si;111
112;0,154;5;0,47;5;4;Si;112;0,188;10;0,259;10;30;Si;36;24;Si;112
113;0,789;7;0,698;5;4;Si;113;0,002;10;0,49;10;32;Si;37;24;Si;113
114;0,757;7;0,385;5;4;Si;114;0,172;10;0,229;8;30;Si;38;22;Si;114
115;0,537;6;0,733;5;4;Si;115;0,408;12;0,729;10;33;No;38;26;Si;115
116;0,955;8;0,41;5;4;Si;116;0,75;14;0,973;10;37;No;38;28;Si;116
117;0,351;6;0,581;5;4;Si;117;0,805;14;0,207;8;33;No;38;26;Si;117
118;0,559;6;0,989;7;4;Si;118;0,996;16;0,821;10;39;No;38;30;Si;118
119;0,808;7;0,753;7;4;Si;119;0,236;10;0,779;10;34;No;38;24;Si;119
120;0,466;6;0,723;5;4;Si;120;0,425;12;0,066;8;31;Si;39;24;Si;120
121;0,893;8;0,538;5;4;Si;121;0,752;14;0,961;10;37;No;39;28;Si;121
122;0,968;8;0,506;5;4;Si;122;0,214;10;0,698;10;33;No;39;24;Si;122
123;0,391;6;0,324;5;4;Si;123;0,162;10;0,226;8;29;Si;40;22;Si;123
124;0,526;6;0,62;5;4;Si;124;0,228;10;0,927;10;31;Si;41;24;Si;124
125;0,087;5;0,774;7;4;Si;125;0,172;10;0,627;10;32;Si;42;24;Si;125
126;0,738;7;0,652;5;4;Si;126;0,181;10;0,619;10;32;Si;43;24;Si;126
127;0,968;8;0,103;3;4;Si;127;0,136;10;0,725;10;31;Si;44;24;Si;127
128;0,115;5;0,793;7;4;Si;128;0,981;16;0,013;8;36;No;44;28;Si;128
129;0,052;5;0,307;5;4;Si;129;0,969;16;0,162;8;34;No;44;28;Si;129
130;0,353;6;0,242;5;4;Si;130;0,281;12;0,801;10;33;No;44;26;Si;130
131;0,775;7;0,651;5;4;Si;131;0,326;12;0,867;10;34;No;44;26;Si;131
132;0,857;8;0,746;5;4;Si;132;0,662;14;0,968;10;37;No;44;28;Si;132
133;0,359;6;0,976;7;4;Si;133;0,495;12;0,729;10;35;No;44;26;Si;133
134;0,608;7;0,435;5;4;Si;134;0,822;14;0,88;10;36;No;44;28;Si;134
135;0,421;6;0,528;5;4;Si;135;0,599;12;0,135;8;31;Si;45;24;Si;135
